,PART I - REASONABLE COMPENSATION EQUIVALENT COMPUTATION,,,,,,,,,,,Cost of,,Cost of,,,Adjust Cost,
,,,,,,Physician/,,5 Percent,,,,Membership ,Professional,Physician,Professional,,of Physician's,
,Specialty,,Total,Professional,RCE,Professional,Unadjusted,of Unadjusted,,Specialty,,& Continuing,Component,Malpractice,Component,Adjusted,Direct Medical &,
,Description/Physician Identifier,,Remuneration,Component,Amount,Component Hours,RCE Limit,RCE Limit,,Description/Physician Identifier,,Education,Share of col. 11,Insurance,Share of col. 13,RCE Limit,Surgical Services,
1,2,,3,4,5,6,7,8,9,10,,11,12,13,14,15,16,
,,,,,,,,,1, General Practitioner Family Practice,,,,,,,,1
,,,,,,,,,2, Internal Medicine,,,,,,,,2
,,,,,,,,,3, Surgery,,,,,,,,3
,,,,,,,,,4, Pediatrics,,,,,,,,4
,,,,,,,,,5, Obstetrics-Gynecology,,,,,,,,5
,,,,,,,,,6, Radiology,,,,,,,,6
,,,,,,,,,7, Psychiatry,,,,,,,,7
,,,,,,,,,8, Anesthesiology,,,,,,,,8
,,,,,,,,,9, Pathology,,,,,,,,9
,,,,,,,,,10, All Other,,,,,,,,10
,,,,,,,,,11," Total  (transfer the amount in column 16, line 11, to ",,,,,,,,11
,,,,,,,,,," Part II, line 1, column 1 or 2, as appropriate)",,,,,,,,
