,,Worksheet ,,Reclassification,Adjusted,Paid Hours,Average,
,,A,,of Salaries,Salaries,Related,Hourly Wage,
,,Line ,Amount,(from ,(column 2 ±,to Salaries,(column 4 ÷,
,,Number,Reported,Worksheet A-6),column 3),in column 4,column 5),
,,1,2,3,4,5,6,
, SALARIES,,,,,,,
Part III - Hospital Wage Index Summary,,,,,,,,
1, Net salaries (see instructions),,,,,,,1
2, Excluded area salaries (see instructions),,,,,,,2
3, Subtotal salaries (line 1 minus line 2),,,,,,,3
4, Subtotal other wages and related costs (see instructions),,,,,,,4
5, Subtotal wage-related costs (see instructions),,,,,,,5
6, Total (sum of lines 3 through 5),,,,,,,6
7, Total overhead cost (see instructions),,,,,,,7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4005.2 - 4005.3)",,,,,,,,
Rev. 2,,,,,,,,40-513
